,여의도한강공원리뷰
1772,"겨울에도 굿...,!!"
1773,날씨도좋구 짜빠게티도 맛있고!!마스크 거리두기 필수!!
1774,지금은 추워서 좀 힘들긴하지만 날따듯할때 가면 좋아요.
1775,따뜻한 날 야경보러가기 좋아요~외국같은 느낌
1776,자전거 타기 좋음
1777,뮬맛이 참 좋더군요. 술인지 물인지 구분이 안가더라고요.. ㅎㅎ 추천합니다
1778,선상뷰폐 불꽃놀이 다소 가격이비싸지만 좋은추억 만들었어요
1779,코로나때문에 사람도 별로없고 한적해서 놀기 너무 좋음
1780,한적한때 간다면 좋은곳.. 날 좋은 주말이라면 난민체험
1781,산책하기에ㅡ좋아요 맛있는것도 많이.팔고
1782,비와서 제대로 못 즐겼습니다... 풍경은 좋았습니다 :d
1783,서울을 사랑하는 이유죠. 한강공원은 항상 넘 좋아요
1784,야경이 너무 이쁘네요 군생활 할때보다 휠  이뻐졌어요
1785,바람쐬고 좋지만 사람이 너무 많다 그리고 시켜먹는 음식은 질이 떨어진다
1786,너무너무 편하고 여가 활동 하기에는 최고의 장소입니다.
1787,넓고 사람많고 이시국 코로나 걸리기 딱 좋음
1788,산책하기도 즐길것도 많은 편안한 공원 이에요
1789,주차문제가 심각해서 안갈란다.
1790,쉬는곳이랑 먹거리가 잘 형성되어 있습니다
1791,공원은 좋죠ㅎㅎ주차비는 꽤 나오네요ㅎㅎㅎ 2시간넘짓에 대략 5000원?
1792,올만에갓는데 가는길이 험난하고 고생함 그치만 고준연예인봄 오마이베이비촬영이엿나봄ㅋㅋ
1793,주민들에겐 최악이지만 외국인 관광객과 시민들의 휴식처노릇을 톡톡히 합니다^^
1794,야 이놈들아 술 처마시고 즐겼으면 니들이 마신건 좀 치워라. 날씨만 좋으면 다들 취하고 난리 부르스네
1795,공기좋고 날씨좋은 날 나와서 놀기 좋아요~
1796,한강공원은 나에게는 마음을 쉬게하는 장소입니다.명상 시간은 더욱 좋았구요.
1797,벗꽃축제는 인파모임
1798,한강이 한눈에 볼 수 있는 힐링장소입니다.
1799,사람도많고떠들썩함~지금은탠트촌가볼만한곳^^
1800,한강변이 다 보이고 매점도 곳곳에 있고 돗자리나 텐트도 대여가 가능해서 좋음
1801,"연애, 가족 딱 좋아 Perfect to hang out with friends, loved ones and family"
1802,텐트치고놀기좋아요 편의시설도잘되잇고
1803,나들이 하기좋죠
1804,늘 좋은 곳. 걷기운동하러 자주 나갑니다~
1805,해가 너무 밝게 뜨더라구요--~~-😆 너무 예뻐서ㅠ사진을 남기지 않았습니다…
1806,명실상부한  한강 최고 공원  입니다.   사람들이 많이 이용하는 공원 임.
1807,무슨 말이 필요합니까... 최근에는 그물침대 같은 걸 설치해뒀더군요!! 퇴근 후에 노을보면서 맥주 한잔 .... 크
1808,해먹처럼 해둔게 누워서 쉬기 참 잘해놓은것같습니다
1809,날씨좋은날..여의도한강공원에서 돋자리깔고 치맥은진리죠
1810,올때마다 매번 좋습니다. 가슴이 트이는느낌
1811,데이트 장소로  좋습니다 :)  물론 난 자전거 라이딩 코스로...ㅠ
1812,쓰레기천국...한강... 그래도 예전에 비해서 많이 깨끗해짐을 느낌 제발 쓰레기 잘치우고 다닙시다
1813,현재 깔끔하게 관리되어 있으며 앉을 곳이 많음
1814,유럽의 어디보다 아름답고 젊은 연인들의 데이트가 너무 보기 좋습니다
1815,한강 좋아요
1816,주차장작은거빼고는 딱좋음 음식다양 쉴곳많음
1817,그물망에 디비누워서 쉬기 좋아요 한강은 어디든 옳아요ㅎ
1818,예전  정겨운 느낌은 사라졌지만 가까운곳에서 기분전환 하고싶을때 가면 좋아용ㅎㅎ
1819,시원하고 사람 많고 라면 맛있고 자전거 복잡하고...
1820,날씨 좋은 날은 천국이 따로 없는 듯ㅡ
1821,유람선 수상스키 뭉개구름 등 멋진 한강공원입니다.
1822,밤에좋음 새볔에 사람도 없고 좋다요
1823,노량진수산시장에서 모듬회사가서 한강앞에서 먹으면 핵존맛..
1824,어버이날에 딸하고 반려견과 나들이 하였습니다
1825,갈때마다 좋은 곳..특히 벚꽃 폈을때
1826,세계어느나라에 비교할수없는 우리만에 가지고있는 한강공원입니다
1827,이만한 공원이 도시 가운데 있는 건 축복입니다.
1828,해먹에 누워있으면 시간 훌쩍 흘러가요
1829,여의도의 축복! 산책하기도 좋고 그냥 앉아서 쉬기도 좋음.
1830,속보속보 여의도 올해의 벚꽃은 이번주말이 절정입니다!
1831,서울불꽃축제
1832,저녁에 산책하기 좋으나 곳곳에 노점과 쓰레기가 눈살을 찌프리게 한다..
1833,아름답고 평화로운 한강
1834,한강 만세 아주 좋음 힐링 운동 휴식의 공간
1835,공원이라기 보다는 유원지같은 느낌이......
1836,그냥 밤마실로 굳
1837,가서 노는게 뭐가재밌은진 모르겠는데 나름 괜찮은 경험이었다
1838,오전에 가면 돗자리 깔고 누울 자리 잡기 좋음
1839,요새사람없어서 좋구나햇다가 밤에잠깐지나가니 사람폭팔 ㅠㅠ 마스크 잘쓰고다녀요 여러분!!
1840,사람 많을 땐 많지만 여유롭게 시간 보내기 좋다!
1841,도깨비야시장이랑 한강보며 굿
1842,가장 대중적이고 자전거 타기에도 좋은 공원
1843,날씨 좋은날 갔더니 사람이... 애기 데리고 가면 고생 예약이에요ㅜㅜ
1844,좋아요
1845,애인과 함께. 혼자 운동해도 좋음. 이어폰 필수
1846,주말이 되면 서율사람 전부 다 모이는 것처럼 보이는 활기찬 장소
1847,한강을 구경하면서 커피마시면서 가족들이랑 또는 연인들이랑  즐거운시간을 보낼 수 있다.
1848,여유로운 사람들의 미소와 한강의 경치가 있는 곳입니다
1849,불꽃축제 미어터진다...ㅎㅎㅎㅎ
1850,사람 텐트 모기 많음 여자화장실줄은 완전 길고
1851,지금은 좀 많이 덥지만 군데군데 편의점과 교통시설이 있어 언제든 집으로 후퇴할 수 있음
1852,"사람은 많았지만, 갈때마다 좋아요."
1853,사진찍기 좋은데 요즘운 너무 더워요
1854,넓고 좋은데.. 여름에 가기엔 좀 많이 더워요ㅎㅎ
1855,말이 필요없다. 텐트펴고 누워있으면 휴양지가 따로없다.
1856,여자친구랑 가는게 좋았다
1857,"한적하니, 주말에 자전거 타고 기분 전환 하기 좋아요."
1858,그늘막 구역에서 텐트치기 좋음
1859,시원한 바람과. 여러 사람을 만날수 있어요
1860,여의도 벚꽃^.~🌼🌼🌼…
1861,물놀이도 가능하고 돗자리에 치맥하면될듯 애기들이 많음
1862,멋있는 공연이예요
1863,자전거 타다 죽을 뻔 했고 너무 상쾌해서 좋았어요!😆…
1864,좋아요
1865,걷기 참 좋은곳 입니다. 야경도 꽤나 좋구요
1866,자전거로 방문할수 있는 전경 좋은 공원.
1867,시간 보내기 좋은 곳. 하지만 사람 미어터지니 코로나 조심하시길
1868,참좋은데 다들 답답했는지 사람이 엄청나네요
1869,사람이 너무 많다는 것 외엔 다 좋다.
1870,서울에 이런공간이 많~이 있깅!! 날씨가 좋아 그런지...사람이 사람이 ㅎ
1871,기분전환으로는 좋은 장소  벚꽃구경도 최고
1872,볼거리 먹을거리가 다양 금요일 토요일 밤도깨비야시장~
1873,한적 조용 돋자리필수
1874,친구들과 피크닉하고 자전거 타기 좋아요.
1875,사람 바글바글..끓여먹는 라면은 30분 기다려야하고 치킨은 2시간 걸린다
1876,사람이 많은걸 감안하고도 예쁜 야경
1877,좋아요.🚲…
1878,시원하고 접근성이.좋아요. 다만 주차는 최악
1879,이국적이고 이색적인 한강공원 유람선도 보면서 낭만즐기고 가요
1880,불꽃놀이가 너무 예뻤어요. 친구들이랑 가기에 좋아요
1881,야경이 참좋네요~ 주차장이 헬인건빼고 ..
1882,진짜 불꽃놀이 자리 잘 고르고 산책가기 좋은곳
1883,가족ㆍ친구ㆍ연인들이    놀기에  조은장소에요
1884,인구빨은 크기빨로 극뽁. 그만큼 공개되지 않은 꿀팁이 많음.
1885,여름밤에 가면 모기 조심.. 그래도 시원해서 좋았어요
1886,기분전환피크닉 구역자연
1887,바람좋고 풍경좋고 라면끓여먹으면 너무좋고
1888,여유로운 환경 좋은날씨면 꼭 가고싶은 곳
1889,말이 필요한가?
1890,간단한 놀이 운동 기구가 있는데 재미있어요
1891,굿
1892,봄에 한강 치맥이 최고지요
1893,울산에도 이런 공간이 있었으면 좋겠습니다. ㅠㅠ아기옷 잃어버림. 슬픈추억
1894,여름에 가면 바람이 시원해요
1895,어중이떠중이 찌끄레이기들이 모여서 술판버리고 쓰레기 투척하는장소
1896,날씨가좋아서 그늘막치고 앉아있기 좋았어요 ㅎㅎㅎ
1897,복잡하고 주차도 힘들고 시끄럽고.. 인근 거주민 아니면 비추해요
1898,날좋을때가면 좋아요 치킨시켜먹으면 꿀맣쓰
1899,음료 파는곳이 없음
1900,한강 뷰는 좋음 근데 뭔 축제때마다 여러 족속들이 공원을 더럽힘
1901,돋자리 빌릴 곳 천지임. 배달도. 날씨 좋은 날 가기 엄청 좋음.
1902,다좋은데 사람 너무 많아요ㅠㅠㅠㅠ그래도 친구들이랑 돗자리피고 놀기 좋습니다
1903,쓰레기가 좀 많았지만 그래도 경치가 너무 좋아요!!
1904,다 좋은데 낮에 여의나루역쪽 길거리에서 너무 시끄러운 행사가 없었으면 좋겠음 가끔 북치고 꽹과리치고 이러던데 너무 시끄러움
1905,서울에 한강이 있는 건 우리에게 큰 축복이다
1906,바람쐬기 좋음. 주말에 사람 엄청 많음
1907,해질녘 붉어지는 분위기
1908,음식도 맛이고 야경도 좋앗어요~.
1909,벛꼿이너무나도 아름다운 모습을 보여주고 있는 곳입니다
1910,다 좋은데 밤에 쓰레기 넘 많아요...
1911,꽃은 너무 예쁜데.. 넘쳐나는 쓰레기.. 다를바없는 시민의식.. :(
1912,늘 즐거운 곳. 추억이 있는 곳.화장실구식화장실 및 사용 대수에 관하여 어떻게 처리 할 것인가.
1913,여기서 쉬기 아주 좋음 여기서 불꽃축제가 열리기도 하니 참고!
1914,야간에 운동 하기가 너무 좋아요
1915,언제나 힐링을 주는곳. 돗자리 4천에 빌려서 2천원 돌려줌.
1916,벚꽃축제 기간에 시민편의를 많이 생각하는게 느껴짐.
1917,한강공원은 사람만 쓰레기를 잘 치운다면 깨끗해요
1918,한강공원 라면 맛집
1919,최고의 봄날씨였으나 너무 사람이 많아 붐빔
1920,주말에 버스타는곳은 평소 타는곳과 달라요
1921,날씨 좋은 날 밤에 돗자리 깔고 놀기 좋음!!
1922,돗자리 펴고 피크닉하기  최적의 장소!
1923,코로나로인해 못왔던 한강 오랜만에 오니 조으다...ㅋㅋㅋ
1924,경치는 아주 퍼풱트하나 편의점이 탈수로 인한 사상자가 많이 발생할 듯 하다
1925,여의나루역에서 접근하기 좋다.
1926,한강에서 치킨에 맥쥬 캬~~ 주말엔 사람 너무 많아요
1927,여의도한강공원 안가보신분은있어도 한번만가보신분은 없을겁니다
1928,퇴근후 버스를 기다리며 가끔 가보는곳. 여의도 근무에대한 약간의 보상이랄까
1929,밤도깨비야시장 하던데 좋아요 역시서울야경 이뻐요
1930,여기만 오면 무한도전이 생각나네요. 넓고 녹지도 많고 좋습니다.
1931,서울 사람들의 허파와도 같은 곳입니다. 숨막혔던 일상을 여기에서 풀어주세요.
1932,치맥하기 좋아요 되신 귀중품은 보관 잘해야됨
1933,관리 탓은 아닌데 평일에도 사람이 너무 많아서 벚꽃 즐기기가 힘들다ㅠㅠ
1934,2019 한강불꽃축제
1935,날씨도 좋고 전망도 탁트여서 제대로 힐링!!
1936,밤도깨비야시장 오후 6 ~ 11시 줄이 너무 길어요. 참고하세요. 다리아픔
1937,서울60평생에서 처음 여의나루에서 놀아봄 무척 좋았음
1938,도심에 이렇게 좋은공원이 있다는게 행복이죠
1939,선선한 날씨에는 들려서 라면 치킨 맥주 등 돗자리 깔고서 있기에는 괜찮았어요.
1940,정말 좋습니다~ 조용하고 나들이하기 좋은곳입니다~
1941,벚꽃나들이 눈치게임성공!
1942,한강은 한강이다.화장실화장실 자체는 깨끗한데 주변에서 담배를 많이 핍니다.
1943,지하철에서 정말 가까운 한강공원중 하나 여유롭고 좋네요~
1944,회사 끝나고 방문 하기 좋운곳 치맥 해요~
1945,자전거 타기 좋아요
1946,자전거도 빌려서 탈수 있고 아주 좋습니다
1947,사람이 너무 많아서 좀 별로였더 그럴뺘에 우라집 앞에있는 수원천애서 붕어 보면서 먹는게 더 맛있을거 같다
1948,주말에는 밤도깨비야시장에서 여러가지 음식을 맛볼 수 있다.
1949,가깝기만 하다면 주말마다 꼭 한번씩은 오고싶어요
1950,요즘시국에 오픈되있고 시원하니 좋드라구요
1951,서울이 외국의 어느 도시보다 가장 좋은 점은 바로 한강이 있기 때문 아닐런지..
1952,한강에서 먹는 라면이 최고네여
1953,여유롭고 자유롭다. 호객꾼만 없으면 더 좋을 거 같다
1954,코로나19로인한.캠핑객들이 쉬기좋은곳
1955,산책하기 좋고 한강바람 느끼기 좋은 곳
1956,역시나 핫하고 재미난 곳이네요~~^^
1957,떨어진 낙엽 흔적을 지워가고 바닥을 어지럽게 하네.
1958,벚꽃이만발하니 너무 사람들이많았네요~~에휴
1959,한강공원 싫어하실분이 있을까 싶습니다. 한강변 거주 하시는 분들은 복 받은 분들입니다.
1960,날씨시원해져서 좋음~~~
1961,다 좋은데 입구에서 전단지 나눠주는거 제지 좀 해주세요
1962,불꽃축제 관람에는 매우 부적절한 위치. 사람 구경에 취미가 있지 않고서야.
1963,너무나 좋은장소... 너무나 드러운 바닦에 닭 뼈다귀....
1964,분위기 좋고 힐링 할 수 있는 좋은 장소
1965,사람이 정말 미친듯이 많네요(벚꽃기간)
1966,내 사랑 여의도 한강공원.  비가 오면 운치있고 맑으면 더 좋고.
1967,여의나루역 나와서 한강방향.뷰좋고 분위기좋고.최고임
1968,직장근처라좋다.  다만주차하기가..
1969,좋은날 좋은때에 가면 항상 사람이 많다
1970,나들이 하기에 날씨도 좋네요~~
1971,오늘 날씨가 너무 시원해서 돗자리 깔꼬 치킨먹기 너무 좋았숨당
1972,시원한 강바람에 치킨 라면 맥주 최고
1973,야경보러 주로 가요~ 서강대교 밑이 최고에요~
